Núm. venta,Fecha,Patrón,Categoría,Dificultad,Tamaño,Núm. ovillos,Precio (€),Precio venta patrón (€),País,Sexo,Edad
42,12/09/2024,Oso navideño,Navidad,Media,Mediano,4,5.43,5.0,Honduras,Hombre,31
43,08/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,29.61,5.0,España,Mujer,37
44,18/11/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,15.64,5.0,Cuba,Hombre,43
45,01/12/2024,Oso panda,Llavero,Baja,Pequeño,2,47.51,3.5,Ecuador,Hombre,49
46,10/04/2024,Oso panda,Llavero,Baja,Pequeño,2,43.89,3.5,El Salvador,Mujer,38
47,28/12/2024,Oso corazón,Amor,Media,Mediano,4,40.01,5.0,Argentina,Mujer,33
48,07/09/2024,Oso navideño,Navidad,Media,Mediano,4,46.17,5.0,Costa Rica,Mujer,31
49,20/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,36.64,5.0,España,Hombre,65
50,26/03/2024,Oso panda,Llavero,Baja,Pequeño,2,32.85,3.5,México,Mujer,57
51,28/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,10.07,5.0,Perú,Mujer,54
52,28/02/2024,Oso corazón,Amor,Media,Mediano,4,7.45,5.0,Costa Rica,Mujer,48
53,06/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,36.13,5.0,Venezuela,Mujer,21
54,09/12/2024,Papa Noel,Navidad,Alta,Grande,7,9.72,7.5,Argentina,Mujer,57
55,09/03/2024,Oso navideño,Navidad,Media,Mediano,4,20.9,5.0,Ecuador,Mujer,27
56,09/01/2024,Papa Noel,Navidad,Alta,Grande,7,28.76,7.5,Nicaragua,Mujer,29
57,23/02/2024,Oso navideño,Navidad,Media,Mediano,4,28.07,5.0,Italia,Mujer,30
58,28/12/2024,Gnomo,Otoño,Media,Mediano,5,44.24,5.0,Bolivia,Hombre,39
59,04/02/2024,Oso panda,Llavero,Baja,Pequeño,2,13.9,3.5,Honduras,Hombre,37
60,21/05/2024,Oso corazón,Amor,Media,Mediano,4,25.05,5.0,Canadá,Hombre,23
61,01/04/2024,Oso corazón,Amor,Media,Mediano,4,33.43,5.0,España,Hombre,67
62,27/04/2024,Oso navideño,Navidad,Media,Mediano,4,25.47,5.0,Paraguay,Hombre,39
63,05/01/2024,Oso corazón,Amor,Media,Mediano,4,5.34,5.0,Japón,Mujer,29
64,22/11/2024,Oso panda,Llavero,Baja,Pequeño,2,47.79,3.5,México,Mujer,59
65,19/05/2024,Oso navideño,Navidad,Media,Mediano,4,6.85,5.0,Guatemala,Mujer,31
66,03/07/2024,Cupido,Amor,Alta,Mediano,6,26.49,5.0,Cuba,Mujer,30
67,17/09/2024,Oso corazón,Amor,Media,Mediano,4,25.74,5.0,Costa Rica,Mujer,18
68,14/08/2024,Rana,Llavero,Baja,Pequeño,1,32.86,3.5,Nicaragua,Mujer,66
69,15/07/2024,Oso navideño,Navidad,Media,Mediano,4,43.86,5.0,República Dominicana,Mujer,45
70,14/03/2024,Oso navideño,Navidad,Media,Mediano,4,45.66,5.0,Argentina,Mujer,54
71,12/03/2024,Oso navideño,Navidad,Media,Mediano,4,8.79,5.0,Guatemala,Hombre,42
72,19/06/2024,Oso corazón,Amor,Media,Mediano,4,42.82,5.0,Guatemala,Hombre,36
73,07/05/2024,Oso panda,Llavero,Baja,Pequeño,2,40.47,3.5,Argentina,Hombre,61
74,18/11/2024,Oso corazón,Amor,Media,Mediano,4,14.64,5.0,Honduras,Mujer,57
75,28/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,32.91,5.0,Colombia,Hombre,27
76,16/11/2024,Oso corazón,Amor,Media,Mediano,4,14.67,5.0,Bolivia,Mujer,22
77,18/03/2024,Oso corazón,Amor,Media,Mediano,4,14.58,5.0,Venezuela,Mujer,50
78,12/09/2024,Oso panda,Llavero,Baja,Pequeño,2,15.8,3.5,México,Hombre,56
79,09/10/2024,Oso panda,Llavero,Baja,Pequeño,2,26.76,3.5,Ecuador,Mujer,54
80,09/07/2024,Oso corazón,Amor,Media,Mediano,4,36.63,5.0,Colombia,Mujer,40
81,05/06/2024,Oso navideño,Navidad,Media,Mediano,4,16.8,5.0,España,Mujer,65
82,13/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,7.06,5.0,China,Hombre,36
83,20/11/2024,Oso panda,Llavero,Baja,Pequeño,2,28.86,3.5,Argentina,Mujer,20
84,17/09/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,26.54,5.0,Corea del Sur,Mujer,21
85,13/07/2024,Oso corazón,Amor,Media,Mediano,4,26.59,5.0,Chile,Mujer,53
86,09/04/2024,Oso corazón,Amor,Media,Mediano,4,5.53,5.0,Perú,Hombre,45
87,16/07/2024,Oso corazón,Amor,Media,Mediano,4,33.05,5.0,Cuba,Hombre,60
88,15/03/2024,Gnomo,Otoño,Media,Mediano,5,41.78,5.0,Reino Unido,Hombre,40
89,01/12/2024,Oso navideño,Navidad,Media,Mediano,4,24.62,5.0,México,Hombre,26
90,23/01/2024,Oso corazón,Amor,Media,Mediano,4,11.47,5.0,Paraguay,Hombre,68
91,19/05/2024,Oso corazón,Amor,Media,Mediano,4,47.92,5.0,Ecuador,Mujer,58
92,26/04/2024,Cupido,Amor,Alta,Mediano,6,10.59,5.0,Nicaragua,Mujer,28
93,08/11/2024,Oso corazón,Amor,Media,Mediano,4,13.96,5.0,Alemania,Hombre,38
94,25/06/2024,Oso navideño,Navidad,Media,Mediano,4,45.63,5.0,Uruguay,Mujer,33
95,08/02/2024,Cupido,Amor,Alta,Mediano,6,48.5,5.0,Honduras,Mujer,69
96,17/10/2024,Oso corazón,Amor,Media,Mediano,4,27.37,5.0,Venezuela,Mujer,26
97,24/10/2024,Oso navideño,Navidad,Media,Mediano,4,39.91,5.0,México,Mujer,54
98,03/04/2024,Oso navideño,Navidad,Media,Mediano,4,24.47,5.0,Bolivia,Hombre,59
99,26/01/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,15.68,5.0,Uruguay,Hombre,57
100,17/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,9.44,5.0,Ecuador,Mujer,28
101,15/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,19.42,5.0,Bolivia,Hombre,55
102,17/04/2024,Oso navideño,Navidad,Media,Mediano,4,14.97,5.0,China,Mujer,18
103,24/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,43.83,5.0,Canadá,Mujer,40
104,05/03/2024,Oso panda,Llavero,Baja,Pequeño,2,46.82,3.5,Alemania,Mujer,47
105,21/07/2024,Oso panda,Llavero,Baja,Pequeño,2,16.95,3.5,Canadá,Mujer,21
106,25/05/2024,Oso navideño,Navidad,Media,Mediano,4,11.86,5.0,Colombia,Mujer,59
107,18/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,11.81,5.0,Uruguay,Hombre,65
108,06/07/2024,Cupido,Amor,Alta,Mediano,6,16.53,5.0,Uruguay,Mujer,24
109,05/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,28.77,5.0,El Salvador,Mujer,63
110,28/10/2024,Oso panda,Llavero,Baja,Pequeño,2,15.48,3.5,Paraguay,Mujer,27
111,05/03/2024,Oso corazón,Amor,Media,Mediano,4,31.35,5.0,Chile,Mujer,39
112,24/01/2024,Oso corazón,Amor,Media,Mediano,4,37.71,5.0,España,Hombre,60
113,09/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,39.58,5.0,Perú,Mujer,19
114,24/12/2024,Oso navideño,Navidad,Media,Mediano,4,17.77,5.0,Paraguay,Mujer,44
115,13/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,27.61,5.0,Honduras,Mujer,26
116,05/04/2024,Rana,Llavero,Baja,Pequeño,1,38.32,3.5,Nicaragua,Mujer,64
117,27/06/2024,Oso panda,Llavero,Baja,Pequeño,2,29.2,3.5,Argentina,Mujer,28
118,02/07/2024,Oso panda,Llavero,Baja,Pequeño,2,10.03,3.5,Cuba,Mujer,50
119,02/10/2024,Oso corazón,Amor,Media,Mediano,4,14.15,5.0,Chile,Hombre,22
120,13/01/2024,Oso navideño,Navidad,Media,Mediano,4,49.1,5.0,Reino Unido,Mujer,70
121,07/09/2024,Oso navideño,Navidad,Media,Mediano,4,7.63,5.0,Australia,Hombre,45
122,04/07/2024,Oso panda,Llavero,Baja,Pequeño,2,39.97,3.5,Guatemala,Mujer,70
123,12/05/2024,Oso panda,Llavero,Baja,Pequeño,2,27.57,3.5,Costa Rica,Mujer,43
124,13/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,31.1,5.0,Honduras,Mujer,44
125,15/09/2024,Oso corazón,Amor,Media,Mediano,4,17.41,5.0,China,Mujer,47
126,08/11/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,16.89,5.0,Bolivia,Mujer,52
127,09/01/2024,Oso corazón,Amor,Media,Mediano,4,11.83,5.0,Guatemala,Mujer,60
128,17/08/2024,Oso navideño,Navidad,Media,Mediano,4,9.29,5.0,Costa Rica,Mujer,58
129,14/07/2024,Oso panda,Llavero,Baja,Pequeño,2,34.36,3.5,China,Hombre,30
130,28/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,21.58,5.0,Uruguay,Mujer,21
131,10/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,35.49,5.0,México,Hombre,25
132,06/12/2024,Oso navideño,Navidad,Media,Mediano,4,47.6,5.0,Bolivia,Hombre,27
133,13/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,47.11,5.0,Argentina,Mujer,18
134,21/09/2024,Oso corazón,Amor,Media,Mediano,4,30.96,5.0,Reino Unido,Mujer,66
135,28/09/2024,Gnomo,Otoño,Media,Mediano,5,25.18,5.0,Panamá,Mujer,43
136,13/08/2024,Oso navideño,Navidad,Media,Mediano,4,31.65,5.0,Paraguay,Hombre,39
137,20/11/2024,Oso panda,Llavero,Baja,Pequeño,2,14.18,3.5,Reino Unido,Mujer,27
138,16/10/2024,Oso navideño,Navidad,Media,Mediano,4,21.21,5.0,Nicaragua,Mujer,60
139,08/07/2024,Oso navideño,Navidad,Media,Mediano,4,14.88,5.0,Guatemala,Mujer,35
140,20/01/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,11.38,5.0,Perú,Mujer,34
141,24/09/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,29.47,5.0,Bolivia,Mujer,69
142,20/10/2024,Papa Noel,Navidad,Alta,Grande,7,35.96,7.5,Chile,Mujer,68
143,05/01/2024,Oso corazón,Amor,Media,Mediano,4,47.39,5.0,Venezuela,Mujer,69
144,13/02/2024,Oso corazón,Amor,Media,Mediano,4,29.34,5.0,Ecuador,Mujer,20
145,15/04/2024,Oso panda,Llavero,Baja,Pequeño,2,49.5,3.5,Guatemala,Mujer,52
146,15/11/2024,Oso corazón,Amor,Media,Mediano,4,32.48,5.0,Argentina,Mujer,23
147,07/01/2024,Oso navideño,Navidad,Media,Mediano,4,15.56,5.0,Suecia,Mujer,32
148,05/09/2024,Oso panda,Llavero,Baja,Pequeño,2,37.87,3.5,Rusia,Mujer,55
149,18/06/2024,Oso corazón,Amor,Media,Mediano,4,9.52,5.0,República Dominicana,Mujer,22
150,20/05/2024,Papa Noel,Navidad,Alta,Grande,7,47.75,7.5,Guatemala,Mujer,70
151,21/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,36.38,5.0,Chile,Mujer,52
152,16/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,15.91,5.0,Corea del Sur,Hombre,48
153,08/02/2024,Rana,Llavero,Baja,Pequeño,1,44.76,3.5,Panamá,Mujer,31
154,27/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,28.42,5.0,Guatemala,Mujer,25
155,16/02/2024,Oso corazón,Amor,Media,Mediano,4,8.85,5.0,Ecuador,Mujer,32
156,14/11/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,29.21,5.0,Panamá,Hombre,46
157,01/06/2024,Oso panda,Llavero,Baja,Pequeño,2,14.63,3.5,Guatemala,Mujer,45
158,03/02/2024,Oso navideño,Navidad,Media,Mediano,4,42.14,5.0,Honduras,Hombre,65
159,19/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,42.66,5.0,Nicaragua,Mujer,64
160,17/04/2024,Oso navideño,Navidad,Media,Mediano,4,14.59,5.0,Bolivia,Hombre,66
161,06/06/2024,Oso corazón,Amor,Media,Mediano,4,37.35,5.0,China,Mujer,18
162,05/02/2024,Oso navideño,Navidad,Media,Mediano,4,23.65,5.0,El Salvador,Hombre,50
163,06/03/2024,Oso corazón,Amor,Media,Mediano,4,11.54,5.0,Argentina,Hombre,51
164,27/01/2024,Oso navideño,Navidad,Media,Mediano,4,48.01,5.0,Bolivia,Mujer,24
165,17/05/2024,Gnomo,Otoño,Media,Mediano,5,40.07,5.0,India,Mujer,62
166,04/09/2024,Oso panda,Llavero,Baja,Pequeño,2,34.87,3.5,Canadá,Hombre,69
167,23/09/2024,Papa Noel,Navidad,Alta,Grande,7,39.02,7.5,Nicaragua,Hombre,27
168,10/06/2024,Oso corazón,Amor,Media,Mediano,4,31.79,5.0,Ecuador,Mujer,36
169,16/03/2024,Oso navideño,Navidad,Media,Mediano,4,10.09,5.0,Noruega,Hombre,52
170,09/05/2024,Oso navideño,Navidad,Media,Mediano,4,12.92,5.0,Corea del Sur,Mujer,39
171,21/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,23.24,5.0,Brasil,Hombre,66
172,20/06/2024,Oso corazón,Amor,Media,Mediano,4,20.92,5.0,Portugal,Mujer,21
173,03/06/2024,Oso navideño,Navidad,Media,Mediano,4,25.83,5.0,España,Hombre,48
174,17/09/2024,Oso panda,Llavero,Baja,Pequeño,2,21.41,3.5,Rusia,Mujer,56
175,21/10/2024,Oso corazón,Amor,Media,Mediano,4,32.51,5.0,Nicaragua,Hombre,51
176,27/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,16.83,5.0,Honduras,Mujer,66
177,25/09/2024,Oso panda,Llavero,Baja,Pequeño,2,35.79,3.5,Colombia,Hombre,38
178,24/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,43.99,5.0,Panamá,Hombre,21
179,19/11/2024,Oso panda,Llavero,Baja,Pequeño,2,9.56,3.5,Paraguay,Mujer,31
180,17/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,31.52,5.0,Bolivia,Mujer,66
181,15/06/2024,Oso navideño,Navidad,Media,Mediano,4,38.32,5.0,Chile,Mujer,34
182,04/11/2024,Oso panda,Llavero,Baja,Pequeño,2,29.72,3.5,Cuba,Mujer,29
183,19/07/2024,Oso corazón,Amor,Media,Mediano,4,16.4,5.0,Colombia,Mujer,29
184,10/04/2024,Rana,Llavero,Baja,Pequeño,1,13.28,3.5,Paraguay,Mujer,61
185,04/06/2024,Papa Noel,Navidad,Alta,Grande,7,8.84,7.5,Ecuador,Hombre,19
186,07/02/2024,Oso panda,Llavero,Baja,Pequeño,2,12.05,3.5,Perú,Mujer,58
187,15/08/2024,Oso corazón,Amor,Media,Mediano,4,39.04,5.0,Chile,Mujer,48
188,17/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,44.84,5.0,Chile,Mujer,22
189,09/07/2024,Papa Noel,Navidad,Alta,Grande,7,43.52,7.5,Argentina,Hombre,32
190,02/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,34.81,5.0,Argentina,Hombre,69
191,20/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,30.59,5.0,Colombia,Mujer,56
192,11/01/2024,Cupido,Amor,Alta,Mediano,6,8.29,5.0,Ecuador,Mujer,57
193,26/03/2024,Oso corazón,Amor,Media,Mediano,4,36.9,5.0,El Salvador,Hombre,21
194,10/12/2024,Gnomo,Otoño,Media,Mediano,5,5.04,5.0,Ecuador,Mujer,24
195,06/02/2024,Oso navideño,Navidad,Media,Mediano,4,25.0,5.0,Colombia,Hombre,53
196,27/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,17.48,5.0,Chile,Mujer,52
197,23/12/2024,Oso panda,Llavero,Baja,Pequeño,2,28.86,3.5,Estados Unidos,Hombre,65
198,21/04/2024,Oso panda,Llavero,Baja,Pequeño,2,8.2,3.5,Paraguay,Mujer,51
199,23/04/2024,Oso corazón,Amor,Media,Mediano,4,49.29,5.0,Nicaragua,Mujer,22
200,17/08/2024,Oso corazón,Amor,Media,Mediano,4,14.95,5.0,México,Mujer,54
201,02/11/2024,Oso corazón,Amor,Media,Mediano,4,44.42,5.0,República Dominicana,Mujer,23
202,14/07/2024,Oso navideño,Navidad,Media,Mediano,4,42.56,5.0,Honduras,Hombre,61
203,28/08/2024,Oso navideño,Navidad,Media,Mediano,4,28.36,5.0,Venezuela,Mujer,59
204,03/10/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,25.99,5.0,Bolivia,Hombre,24
205,05/02/2024,Oso navideño,Navidad,Media,Mediano,4,48.45,5.0,Costa Rica,Mujer,68
206,23/02/2024,Oso navideño,Navidad,Media,Mediano,4,33.62,5.0,Panamá,Hombre,56
207,15/02/2024,Papa Noel,Navidad,Alta,Grande,7,42.69,7.5,Guatemala,Mujer,23
208,11/03/2024,Oso corazón,Amor,Media,Mediano,4,15.87,5.0,República Dominicana,Mujer,53
209,13/12/2024,Papa Noel,Navidad,Alta,Grande,7,48.02,7.5,Francia,Mujer,62
210,22/08/2024,Oso navideño,Navidad,Media,Mediano,4,18.43,5.0,Bolivia,Mujer,47
211,09/12/2024,Oso panda,Llavero,Baja,Pequeño,2,21.3,3.5,México,Mujer,32
212,08/09/2024,Oso panda,Llavero,Baja,Pequeño,2,12.45,3.5,Nicaragua,Mujer,43
213,16/03/2024,Gnomo,Otoño,Media,Mediano,5,17.9,5.0,Uruguay,Mujer,26
214,06/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,13.77,5.0,Honduras,Mujer,55
215,01/08/2024,Oso navideño,Navidad,Media,Mediano,4,5.53,5.0,Uruguay,Hombre,57
216,14/06/2024,Oso navideño,Navidad,Media,Mediano,4,18.88,5.0,Paraguay,Mujer,65
217,26/06/2024,Gnomo,Otoño,Media,Mediano,5,20.41,5.0,Perú,Mujer,34
218,22/05/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,17.11,5.0,Costa Rica,Mujer,37
219,25/02/2024,Cupido,Amor,Alta,Mediano,6,7.92,5.0,Nicaragua,Mujer,21
220,05/09/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,32.16,5.0,Chile,Mujer,27
221,24/11/2024,Oso panda,Llavero,Baja,Pequeño,2,13.02,3.5,El Salvador,Mujer,30
222,20/09/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,20.95,5.0,Argentina,Mujer,47
223,28/04/2024,Oso corazón,Amor,Media,Mediano,4,23.67,5.0,España,Hombre,63
224,19/05/2024,Oso panda,Llavero,Baja,Pequeño,2,43.57,3.5,Panamá,Mujer,49
225,20/08/2024,Oso corazón,Amor,Media,Mediano,4,17.99,5.0,República Dominicana,Hombre,53
226,09/05/2024,Oso corazón,Amor,Media,Mediano,4,10.63,5.0,Ecuador,Mujer,64
227,25/12/2024,Oso corazón,Amor,Media,Mediano,4,24.08,5.0,Ecuador,Mujer,57
228,14/12/2024,Oso panda,Llavero,Baja,Pequeño,2,48.68,3.5,Paraguay,Hombre,41
229,09/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,43.19,5.0,Venezuela,Mujer,62
230,08/07/2024,Gnomo,Otoño,Media,Mediano,5,5.03,5.0,Venezuela,Hombre,51
231,05/01/2024,Oso navideño,Navidad,Media,Mediano,4,16.3,5.0,Bolivia,Mujer,51
232,17/06/2024,Oso panda,Llavero,Baja,Pequeño,2,48.15,3.5,Honduras,Hombre,45
233,19/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,42.33,5.0,Colombia,Hombre,62
234,06/09/2024,Oso panda,Llavero,Baja,Pequeño,2,34.75,3.5,Japón,Hombre,38
235,16/05/2024,Oso navideño,Navidad,Media,Mediano,4,48.97,5.0,Turquía,Mujer,36
236,20/06/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,18.45,5.0,Panamá,Hombre,30
237,28/10/2024,Gnomo,Otoño,Media,Mediano,5,45.18,5.0,Suecia,Hombre,27
238,14/06/2024,Oso navideño,Navidad,Media,Mediano,4,28.48,5.0,Venezuela,Mujer,25
239,23/09/2024,Oso navideño,Navidad,Media,Mediano,4,34.1,5.0,Chile,Hombre,21
240,06/10/2024,Oso panda,Llavero,Baja,Pequeño,2,19.32,3.5,Uruguay,Mujer,69
241,05/12/2024,Papa Noel,Navidad,Alta,Grande,7,43.7,7.5,Perú,Mujer,51
242,18/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,44.29,5.0,Venezuela,Mujer,63
243,28/12/2024,Oso navideño,Navidad,Media,Mediano,4,5.61,5.0,Honduras,Mujer,20
244,11/08/2024,Oso panda,Llavero,Baja,Pequeño,2,41.95,3.5,Honduras,Hombre,??
245,20/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,44.89,5.0,Perú,,43
246,15/02/2024,Oso panda,Llavero,Baja,Pequeño,2,27.47,3.5,Uruguay,Mujer,64
247,16/09/2024,Rana,Llavero,Baja,Pequeño,1,10.03,3.5,Uruguay,Mujer,25
248,23/04/2024,Oso panda,Llavero,Baja,Pequeño,2,7.37,3.5,Venezuela,Mujer,58
249,13/12/2024,Oso panda,Llavero,Baja,Pequeño,2,39.26,3.5,Argentina,Mujer,20
250,13/02/2024,Oso navideño,Navidad,Media,Mediano,4,13.47,5.0,España,Mujer,36
251,27/08/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,11.48,5.0,España,Mujer,61
252,26/09/2024,Oso corazón,Amor,Media,Mediano,4,21.7,5.0,República Dominicana,Mujer,58
253,17/12/2024,Gnomo,Otoño,Media,Mediano,5,38.28,5.0,Panamá,Mujer,56
254,17/07/2024,Oso panda,Llavero,Baja,Pequeño,2,7.81,3.5,Costa Rica,Mujer,54
255,17/07/2024,Oso corazón,Amor,Media,Mediano,4,8.92,5.0,Perú,Mujer,27
256,11/10/2024,Oso corazón,Amor,Media,Mediano,4,30.13,5.0,Uruguay,Hombre,49
257,22/02/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,23.8,5.0,Chile,Mujer,55
258,20/08/2024,Oso navideño,Navidad,Media,Mediano,4,11.98,5.0,Perú,Hombre,60
259,07/08/2024,Oso corazón,Amor,Media,Mediano,4,22.79,5.0,Colombia,Mujer,29
260,20/11/2024,Oso navideño,Navidad,Media,Mediano,4,26.23,5.0,Rusia,Mujer,31
261,17/06/2024,Oso panda,Llavero,Baja,Pequeño,2,25.25,3.5,Francia,Mujer,55
262,24/11/2024,Oso navideño,Navidad,Media,Mediano,4,36.04,5.0,El Salvador,Hombre,23
263,01/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,37.41,5.0,Costa Rica,Hombre,49
264,13/01/2024,Oso navideño,Navidad,Media,Mediano,4,5.25,5.0,Bolivia,Mujer,32
265,22/03/2024,Oso navideño,Navidad,Media,Mediano,4,40.16,5.0,Cuba,Mujer,41
